"The journey of a thousand miles begins with one step.","Lao Tzu"
"Knowing yourself is the beginning of all wisdom.","Aristotle"
"He who has a why to live can bear almost any how.","Friedrich Nietzsche"
"What we think, we become.","Buddha"
"Well done is better than well said.","Benjamin Franklin"
"Discipline is the bridge between goals and accomplishment.","Jim Rohn"
"The only true wisdom is in knowing you know nothing.","Socrates"
"Lost time is never found again.","Benjamin Franklin"
"Act as if what you do makes a difference. It does.","William James"
"Silence is a source of great strength.","Lao Tzu"
"An unexamined life is not worth living.","Socrates"
"The future depends on what you do today.","Mahatma Gandhi"
"Be where you are; otherwise you will miss your life.","Buddha"
"Time is what we want most, but what we use worst.","William Penn"
"Happiness depends upon ourselves.","Aristotle"
"You become what you believe.","Oprah Winfrey"
"Do the best you can until you know better. Then when you know better, do better.","Maya Angelou"
"The best way to predict the future is to create it.","Peter Drucker"
"Patience is bitter, but its fruit is sweet.","Aristotle"
"Don’t count the days, make the days count.","Muhammad Ali"
"The soul becomes dyed with the color of its thoughts.","Marcus Aurelius"
"Knowing others is intelligence; knowing yourself is true wisdom.","Lao Tzu"
"Life is really simple, but we insist on making it complicated.","Confucius"
"Energy and persistence conquer all things.","Benjamin Franklin"
"Your time is limited, so don’t waste it living someone else’s life.","Steve Jobs"
"Peace comes from within. Do not seek it without.","Buddha"
"Judge a man by his questions rather than his answers.","Voltaire"
"Yesterday is gone. Tomorrow has not yet come. We have only today.","Mother Teresa"
"The present moment is the only time over which we have dominion.","Thích Nhất Hạnh"
"Luck is what happens when preparation meets opportunity.","Seneca"
"The man who moves a mountain begins by carrying away small stones.","Confucius"
"Everything you can imagine is real.","Pablo Picasso"
"First say to yourself what you would be; and then do what you have to do.","Epictetus"
"The quieter you become, the more you can hear.","Ram Dass"
"Motivation gets you going, discipline keeps you growing.","John C. Maxwell"
"Time stays long enough for anyone who will use it.","Leonardo da Vinci"
"When you let go of who you are, you become who you might be.","Rumi"
"Don’t watch the clock; do what it does. Keep going.","Sam Levenson"
"Quality is not an act, it is a habit.","Aristotle"
"The purpose of our lives is to be happy.","Dalai Lama"
"It is not that we have a short time to live, but that we waste much of it.","Seneca"
"Success is the sum of small efforts repeated day in and day out.","Robert Collier"
"If not now, when?","Hillel the Elder"
"A year from now you may wish you had started today.","Karen Lamb"
"The way to get started is to quit talking and begin doing.","Walt Disney"
"To improve is to change; to be perfect is to change often.","Winston Churchill"
"Live as if you were to die tomorrow. Learn as if you were to live forever.","Mahatma Gandhi"
"Do not squander time, for that is the stuff life is made of.","Benjamin Franklin"
"Wherever you are, be all there.","Jim Elliot"
"Self-control is strength. Right thought is mastery. Calmness is power.","James Allen"
"The key is not to prioritize what’s on your schedule, but to schedule your priorities.","Stephen Covey"
"Work hard in silence, let your success be your noise.","Frank Ocean"
"Dream big and dare to fail.","Norman Vaughan"
"What you seek is seeking you.","Rumi"
"Success usually comes to those who are too busy to be looking for it.","Henry David Thoreau"
"Do one thing every day that scares you.","Eleanor Roosevelt"
"Nothing will work unless you do.","Maya Angelou"
"The best preparation for tomorrow is doing your best today.","H. Jackson Brown Jr."
"Start where you are. Use what you have. Do what you can.","Arthur Ashe"
"Time is the most valuable thing a man can spend.","Theophrastus"
"The mind is everything. What you think you become.","Buddha"
"Be faithful in small things.","Mother Teresa"
"The secret of getting ahead is getting started.","Mark Twain"
"Make each day your masterpiece.","John Wooden"
"Fall seven times and stand up eight.","Japanese Proverb"
"Action is the foundational key to all success.","Pablo Picasso"
"Do what you can, with what you have, where you are.","Theodore Roosevelt"
"Success is not final, failure is not fatal.","Winston Churchill"
"One day or day one. You decide.","Paulo Coelho"
"Don’t wish it were easier; wish you were better.","Jim Rohn"
"The best time to plant a tree was 20 years ago. The second best time is now.","Chinese Proverb"
"Great things are done by a series of small things brought together.","Vincent Van Gogh"
"Live in the sunshine, swim the sea, drink the wild air.","Ralph Waldo Emerson"
"Small steps every day.","Anonymous"
"Begin at once to live, and count each separate day as a separate life.","Seneca"
"Time is a created thing. To say 'I don’t have time' is to say 'I don’t want to.'","Lao Tzu"
"He who conquers himself is the mightiest warrior.","Confucius"
"The only way to do great work is to love what you do.","Steve Jobs"
"Do not wait; the time will never be ‘just right.’","Napoleon Hill"
"Knowing is not enough; we must apply. Willing is not enough; we must do.","Johann Wolfgang von Goethe"
"The present is the point at which time touches eternity.","C.S. Lewis"
"Your life does not get better by chance, it gets better by change.","Jim Rohn"
"Time brings all things to pass.","Aeschylus"
"The greatest wealth is to live content with little.","Plato"
"Focus on being productive instead of busy.","Tim Ferriss"
"He who is not courageous enough to take risks will accomplish nothing in life.","Muhammad Ali"
"Do not go where the path may lead, go instead where there is no path and leave a trail.","Ralph Waldo Emerson"
"With self-discipline most anything is possible.","Theodore Roosevelt"
"Each morning we are born again. What we do today is what matters most.","Buddha"
"Action may not always bring happiness, but there is no happiness without action.","William James"
"Lost time is never found again.","Benjamin Franklin"
"You miss 100% of the shots you don’t take.","Wayne Gretzky"
"The successful warrior is the average man, with laser-like focus.","Bruce Lee"
"Time is the wisest counselor of all.","Pericles"
"An inch of time is an inch of gold.","Chinese Proverb"
"Well-being is attained little by little.","Epicurus"
"The key to success is to focus on goals, not obstacles.","Anonymous"
"One thing at a time, all things in succession.","Josiah Gilbert Holland"
"Do not pray for an easy life, pray for the strength to endure a difficult one.","Bruce Lee"
"Life is made of ever so many partings welded together.","Charles Dickens"
"The more disciplined you become, the easier life gets.","Steve Pavlina"
"Don’t let yesterday take up too much of today.","Will Rogers"
"Time is the most valuable thing a man can spend.","Theophrastus"
"The discipline of desire is the background of character.","John Locke"
"If you want light to come into your life, you need to stand where it is shining.","Guy Finley"
"Ordinary people think merely of spending time, great people think of using it.","Arthur Schopenhauer"
"Do the hard jobs first. The easy jobs will take care of themselves.","Dale Carnegie"
"The secret of change is to focus all your energy not on fighting the old, but on building the new.","Socrates"
"Your habits will determine your future.","Jack Canfield"
"Time flies over us, but leaves its shadow behind.","Nathaniel Hawthorne"
"Be not afraid of growing slowly, be afraid only of standing still.","Chinese Proverb"
"Nothing is worth more than this day.","Johann Wolfgang von Goethe"
"Discipline equals freedom.","Jocko Willink"
"The energy of the mind is the essence of life.","Aristotle"
"Do not be embarrassed by your failures, learn from them and start again.","Richard Branson"
"The greatest prayer is patience.","Buddhist Proverb"
"The mind that is anxious about future events is miserable.","Seneca"
"Great acts are made up of small deeds.","Lao Tzu"
"Success is walking from failure to failure with no loss of enthusiasm.","Winston Churchill"
"Live quietly in the moment and see the beauty of all before you.","Paramahansa Yogananda"
"Time is the fire in which we burn.","Delmore Schwartz"
"To enjoy the glow of good health, you must exercise.","Gene Tunney"
"Small daily improvements over time lead to stunning results.","Robin Sharma"
"An investment in knowledge pays the best interest.","Benjamin Franklin"
"One today is worth two tomorrows.","Benjamin Franklin"
"The calmer you are, the clearer you think.","Anonymous"
"Do not let what you cannot do interfere with what you can do.","John Wooden"
"Time is a gift that most of us waste.","Cheryl Richardson"
"The soul always knows what to do to heal itself.","Caroline Myss"
"Success doesn’t come from what you do occasionally, it comes from what you do consistently.","Marie Forleo"
"Slow progress is better than no progress.","Anonymous"
"Life is short, and it is up to you to make it sweet.","Sarah Louise Delany"
"The more you value your time, the less you waste it.","Anonymous"
"Today well lived makes every yesterday a dream of happiness.","Kalidasa"
"Do not wait for leaders; do it alone, person to person.","Mother Teresa"
"Time discovers truth.","Seneca"
"The pain you feel today will be the strength you feel tomorrow.","Anonymous"
"Spiritual growth is not knowing more, but becoming more.","Anonymous"
"Without discipline, there is no life at all.","Katharine Hepburn"
"Life is growth. If we stop growing, technically and spiritually, we are as good as dead.","Morihei Ueshiba"
"The secret of discipline is motivation.","Anonymous"
"Each day provides its own gifts.","Marcus Aurelius"
"Do something today that your future self will thank you for.","Anonymous"
"The time for action is now. It’s never too late to do something.","Antoine de Saint-Exupéry"
"Man is not worried by real problems so much as by his imagined anxieties about real problems.","Epictetus"
"The happiness of your life depends upon the quality of your thoughts.","Marcus Aurelius"
"He who learns but does not think, is lost. He who thinks but does not learn is in great danger.","Confucius"
"The best use of life is to spend it for something that outlasts it.","William James"
"Time is the most valuable coin in your life.","Carl Sandburg"
"Your mind will answer most questions if you learn to relax and wait for the answer.","William S. Burroughs"
"Success is neither magical nor mysterious. Success is the natural consequence of consistently applying basic fundamentals.","Jim Rohn"
"Do not let the behavior of others destroy your inner peace.","Dalai Lama"
"Life is available only in the present moment.","Thích Nhất Hạnh"
"Mastery begins with self-discipline.","Anonymous"
"Be patient with all that is unresolved in your heart.","Rainer Maria Rilke"
"Time is a storm in which we are all lost.","William Carlos Williams"
"The strongest principle of growth lies in human choice.","George Eliot"
"Self-discipline begins with the mastery of your thoughts.","Napoleon Hill"
"To know oneself, one should assert oneself.","Albert Camus"
"Every moment is a fresh beginning.","T.S. Eliot"
"Time and tide wait for no man.","Geoffrey Chaucer"
"The more you are in a state of gratitude, the more you will attract things to be grateful for.","Walt Disney"
"Discipline is choosing between what you want now and what you want most.","Abraham Lincoln"
"Life can only be understood backwards; but it must be lived forwards.","Søren Kierkegaard"
"Time is the longest distance between two places.","Tennessee Williams"
"Nothing is softer or more flexible than water, yet nothing can resist it.","Lao Tzu"
"The way is not in the sky. The way is in the heart.","Buddha"
"Patience is the companion of wisdom.","St. Augustine"
"You have power over your mind, not outside events.","Marcus Aurelius"
"Only in the darkness can you see the stars.","Martin Luther King Jr."
"Well-being cannot exist just in your own head.","Thích Nhất Hạnh"
"The mind that is disciplined becomes free.","Anonymous"
"It is not length of life, but depth of life.","Ralph Waldo Emerson"
"To live is so startling it leaves little time for anything else.","Emily Dickinson"
"One cannot step twice in the same river.","Heraclitus"
"Small opportunities are often the beginning of great enterprises.","Demosthenes"
"The art of being wise is the art of knowing what to overlook.","William James"
"Life is growth or decay.","James Allen"
"Time is a great teacher, but unfortunately it kills all its pupils.","Hector Berlioz"
"Do not spoil what you have by desiring what you have not.","Epicurus"
"Strength does not come from physical capacity, it comes from an indomitable will.","Mahatma Gandhi"
"The greatest weapon against stress is our ability to choose one thought over another.","William James"
"Peace is not the absence of conflict, but the ability to cope with it.","Mahatma Gandhi"
"A man who dares to waste one hour of time has not discovered the value of life.","Charles Darwin"
"The soul grows through attention.","Simone Weil"
"Don’t be pushed around by the fears in your mind.","Roy T. Bennett"
"Success is nothing more than a few simple disciplines practiced every day.","Jim Rohn"
"Knowing when to stop is wisdom.","Lao Tzu"
"Life shrinks or expands in proportion to one’s courage.","Anaïs Nin"
"The time you enjoy wasting is not wasted time.","Bertrand Russell"
"Great things are not done by impulse, but by a series of small things brought together.","Vincent Van Gogh"
"Where attention goes, energy flows.","James Redfield"
"Do not anticipate trouble, or worry about what may never happen.","Benjamin Franklin"
"True wealth is not of the pocket, but of the heart.","Anonymous"
"The present moment is filled with joy and happiness.","Thích Nhất Hạnh"
"Action is the antidote to despair.","Joan Baez"
"Be slow to fall into friendship, but when you are in, continue firm and constant.","Socrates"
"The more you know, the more you realize you know nothing.","Aristotle"
"Success is the progressive realization of a worthy goal.","Earl Nightingale"
"Time is the school in which we learn.","Delmore Schwartz"
"Live each day as if your life had just begun.","Johann Wolfgang von Goethe"
"The discipline of writing something down is the first step toward making it happen.","Lee Iacocca"
"Nothing is permanent but change.","Heraclitus"
"The key to growth is the introduction of higher dimensions of consciousness.","Lao Tzu"
"Great minds discuss ideas; average minds discuss events.","Eleanor Roosevelt"
"Calmness is the cradle of power.","Josiah Gilbert Holland"
"You cannot escape the responsibility of tomorrow by evading it today.","Abraham Lincoln"
"Life is a series of moments, live each one.","Coretta Scott King"
"Patience and perseverance have a magical effect.","John Quincy Adams"
"Time gives good advice.","Greek Proverb"
"Spirituality is not adopting more beliefs but uncovering the best in you.","Amit Ray"
"The price of greatness is responsibility.","Winston Churchill"
"Every action you take is a vote for the person you wish to become.","James Clear"
"Do what is right, not what is easy.","Roy T. Bennett"
"Growth is the great separator between those who succeed and those who do not.","John C. Maxwell"
"Today is the only day. Yesterday is gone.","John Wooden"
"The disciplined person is free.","Anonymous"
"The best way out is always through.","Robert Frost"
"Time is the most valuable thing a man can lose.","Theophrastus"
"He who lives in harmony with himself lives in harmony with the universe.","Marcus Aurelius"
"Do not seek to follow in the footsteps of the wise; seek what they sought.","Matsuo Bashō"
"Success is built sequentially. It’s one thing at a time.","Gary Keller"
"Your calm mind is the ultimate weapon against your challenges.","Bryant McGill"
"The bad news is time flies. The good news is you’re the pilot.","Michael Altshuler"
"The art of life is to live in the present moment.","Emmet Fox"
"The difference between ordinary and extraordinary is that little extra.","Jimmy Johnson"
"Time reveals all things.","Sophocles"
"Learning never exhausts the mind.","Leonardo da Vinci"
"Peace begins with a smile.","Mother Teresa"
"Consistency is what transforms average into excellence.","Anonymous"
"The more you practice peace, the more peaceful you become.","Anonymous"
"The secret of success is constancy to purpose.","Benjamin Disraeli"
"Time is the substance from which life is made.","Benjamin Franklin"
"He who has a why can endure any how.","Friedrich Nietzsche"
"Be master of mind rather than mastered by mind.","Zen Proverb"
"Action expresses priorities.","Mahatma Gandhi"
"Live simply so that others may simply live.","Mahatma Gandhi"
"Success grows out of struggles.","Anonymous"
"Attention is the rarest and purest form of generosity.","Simone Weil"
"Time is the coin of your life. Spend it wisely.","Carl Sandburg"
"Every discipline has its own reward.","Anonymous"
"Work gives you meaning and purpose.","Stephen Hawking"
"The moment you accept responsibility for everything in your life is the moment you gain the power to change anything.","Hal Elrod"
"Slow and steady wins the race.","Aesop"
"Your habits shape your identity.","James Clear"
"Nothing can disturb your peace of mind unless you allow it.","Roy T. Bennett"
"Time is the most precious resource we have.","Anonymous"
"Make time for silence.","Søren Kierkegaard"
"The secret of your future is hidden in your daily routine.","Mike Murdock"
"Life is lived in moments.","Anonymous"
"One hour of planning can save ten hours of doing.","Dale Carnegie"
"The quieter the mind, the stronger the spirit.","Anonymous"
"Success comes from doing the right things consistently.","Anonymous"
"Time is the most powerful force in the universe.","Anonymous"
"Live with intention.","Anonymous"
"Self-discipline is self-care.","Anonymous"
"To be calm is the highest achievement of the self.","Zen Saying"
"Time changes everything except something within us which is always surprised by change.","Thomas Hardy"
"Focus is saying no to good things so you can say yes to great things.","Steve Jobs"
"Patience is power.","Anonymous"
"Your future is created by what you do today, not tomorrow.","Robert Kiyosaki"
"Life is a reflection of your thoughts.","James Allen"
"Time is life itself.","Anonymous"
"The mind is a powerful servant but a dangerous master.","David Foster Wallace"
"One step at a time is still progress.","Anonymous"
"The soul loves simplicity.","Anonymous"
"Success is the byproduct of daily discipline.","Anonymous"
"Make peace with your past so it won’t disturb your present.","Anonymous"
"The value of life lies in the use of it.","Michel de Montaigne"
"Where there is patience, there is peace.","Anonymous"
"Time is the arena of human development.","Anonymous"
"Inner peace is the new success.","Anonymous"
"Life rewards action.","Anonymous"
"Discipline is remembering what you want.","David Campbell"
"Be intentional with your time.","Anonymous"
"Stillness is where clarity is born.","Anonymous"
"The smallest daily actions compound into massive results.","Anonymous"
